,Unnamed: 0,algorithm,percentage,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
71,71.0,IM_0.2,0.8,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9982047153179466,0.651764686788941,0.9195216462691347,0.9223889483817749,0.69436019995037,0.9141606662190043,0.9982048076784641,0.6010842865557465,0.9195197628172433
72,72.0,IM_0.2,0.9,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.995180263806917,0.6152037262553108,0.9110668183091647,0.9222989384619098,0.6994022230553437,0.914160484154465,0.9971843272494263,0.581889114074631,0.9110411211913887
73,73.0,IM_0.2,0.1,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8630014942422399,0.6521219872644807,0.8909608406401593,0.9203553749617154,0.7056024139580618,0.9242720006687816,0.863176377572815,0.4736670870427839,0.88229730886741
74,74.0,IM_0.2,0.2,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8758722986419964,0.6085938232385809,0.8946463620990782,0.9164708722323229,0.7199775718137681,0.9244276118101209,0.8766383627602209,0.43354879910101524,0.8787049774552079
75,75.0,IM_0.2,0.3,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9677744452968153,0.5357108152640719,0.8921933184146094,0.9136025199111533,0.7173482536947838,0.9254317078005486,0.9697971404431194,0.3686057544968393,0.8595330308835754
76,76.0,IM_0.2,0.4,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9294631598221513,0.6115473875999289,0.8941975693087816,0.9115902377865946,0.7169475363190031,0.9253859773259192,0.935998833499744,0.5123260518283242,0.8789391288170663
77,77.0,IM_0.2,0.5,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8529203362417006,0.6892911731147582,0.8873909839449221,0.9096328939664143,0.7214243693506912,0.9281547525810717,0.8577288442821691,0.5808451262618172,0.8778531078981895
78,78.0,IM_0.2,0.6,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9407728958670205,0.5541350163106569,0.8930567445200848,0.9083171193713127,0.7271985922157841,0.9282167353689171,0.9413659214513721,0.3875701544584583,0.8782918459444116
79,79.0,IM_0.2,0.7,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9393652388968741,0.5684571359267898,0.891603972177959,0.9066776424791279,0.7290658328675824,0.9285701926229004,0.9399416847062778,0.3878942258369318,0.8794819880339315
80,80.0,IM_0.2,0.8,DelayedEventLoggingPolluter120_0,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9433607778144817,0.5671395425474022,0.9104665722916493,0.9062122466097516,0.7220515733334019,0.9297661668391047,0.9441344755649057,0.4115504776519428,0.892040739396608
